species,family,n.replications,n.EUNIS.habitats,Disturbance.Severity,Disturbance.Severity.herblayer,Disturbance.Frequency,Disturbance.Frequency.herblayer,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance,SD_Disturbance.Severity,SD_Disturbance.Severity.herblayer,SD_Disturbance.Frequency,SD_Disturbance.Frequency.herblayer,SD_Mowing.Frequency,SD_Grazing.Pressure,SD_Soil.Disturbance
Thymus pallasianus,Lamiaceae,999,8,0.33333,0.31912,1.5668,1.80672,0.50208,0.17857,0.44058,0.005,0.004,0.7432,0.0368,1.0832,0.0018,0.0026
Thymus praecox,Lamiaceae,999,115,0.44144,0.40164,1.14629,1.64673,0.3541,0.32776,0.18581,3.00E-04,3.00E-04,0.0581,0.0206,0.1124,4.00E-04,3.00E-04
Thymus pulcherrimus,Lamiaceae,999,31,0.38452,0.28998,0.82142,1.58653,0.04281,0.25962,0.12774,0.0019,0.0014,0.3546,0.1092,0.3225,0.0011,0.0011
Thymus pulegioides,Lamiaceae,999,110,0.48356,0.44748,1.21853,1.78433,0.656,0.27735,0.21659,3.00E-04,3.00E-04,0.0489,0.0099,0.0983,3.00E-04,4.00E-04
Thymus serpyllum,Lamiaceae,999,105,0.47175,0.37763,0.85823,1.71575,0.35457,0.30652,0.21061,4.00E-04,5.00E-04,0.0965,0.0127,0.1395,4.00E-04,4.00E-04
Thymus sibthorpii,Lamiaceae,999,46,0.54513,0.42931,0.74126,1.71322,0.41119,0.31927,0.20491,0.0015,0.0017,0.2974,0.0384,0.382,0.0015,0.0012
Thymus spinulosus,Lamiaceae,999,10,0.54839,0.54603,1.91409,1.91409,0.5499,0.45574,0.2254,0.004,0.0043,0.0338,0.0338,1.2091,0.0022,0.0024
Thymus striatus,Lamiaceae,999,47,0.49189,0.44151,1.13066,1.84489,0.24182,0.33433,0.21458,0.0011,0.0012,0.1841,0.0244,0.2674,6.00E-04,9.00E-04
Thymus talijevii,Lamiaceae,999,7,0.47833,0.46724,1.47787,1.70267,0.78754,0.44667,0.19355,0.0018,0.003,0.7103,0.07,0.7637,0.003,0.0011
Thymus thracicus,Lamiaceae,999,21,0.37778,0.37576,1.74186,1.74186,0.17687,0.26515,0.15846,0.0038,0.0038,0.205,0.205,1.2857,0.0031,0.0033
Thymus vulgaris,Lamiaceae,999,65,0.62576,0.28734,0.39929,1.4448,0.13823,0.33174,0.16725,4.00E-04,6.00E-04,0.1112,0.0138,0.1114,3.00E-04,4.00E-04
Thymus willkommii,Lamiaceae,999,10,0.53636,0.34091,0.66775,1.39401,0.21857,0.33333,0.14583,0.0016,0.0069,0.8905,0.1376,2.4912,0.004,0.0039
Thymus zygioides,Lamiaceae,999,14,0.52083,0.466,1.13482,1.75213,0.40799,0.38043,0.25435,0.0053,0.0074,1.3703,0.0991,1.9039,0.0041,0.0047
Thymus zygis,Lamiaceae,999,27,0.49125,0.27736,0.50078,1.43527,0.08054,0.33727,0.15802,0.0028,0.0027,0.6779,0.0298,0.593,0.0017,0.0026
Tilia begoniifolia,Malvaceae,999,10,0.69669,0.12107,0.02092,1.309,0.00353,0.18856,0.1,4.00E-04,8.00E-04,0.2017,0.0082,0.2039,3.00E-04,0
Tilia cordata,Malvaceae,999,64,0.69855,0.14181,0.03546,1.33013,0.00763,0.19169,0.10902,1.00E-04,2.00E-04,0.052,0.0029,0.042,1.00E-04,1.00E-04
Tilia platyphyllos,Malvaceae,999,52,0.69604,0.15267,0.05116,1.30648,0.0042,0.16124,0.10255,2.00E-04,3.00E-04,0.0651,0.0044,0.0431,1.00E-04,1.00E-04
Tilia tomentosa,Malvaceae,999,12,0.6994,0.10483,0.00318,1.30369,0.00208,0.1999,0.10167,2.00E-04,5.00E-04,0.0693,0.0032,0.0487,1.00E-04,4.00E-04
Tofieldia calyculata,Tofieldiaceae,999,58,0.31347,0.24556,0.81672,1.17286,0.28442,0.17436,0.06736,0.001,7.00E-04,0.1818,0.0876,0.2765,7.00E-04,5.00E-04
Tofieldia pusilla,Tofieldiaceae,999,25,0.25433,0.20895,1.14685,1.70531,0.16887,0.14388,0.04164,0.0015,8.00E-04,0.1858,0.0313,0.624,0.0011,0.0013
Tolpis barbata,Compositae,999,25,0.42769,0.34951,1.15668,2.00287,0.533,0.31755,0.22656,0.0029,0.003,0.2479,0.0182,0.4805,0.0018,0.0017
Tolpis staticifolia,Compositae,999,38,0.51014,0.41433,0.81306,1.43698,0.07117,0.20618,0.26429,0.0015,0.0016,0.3153,0.0255,0.4969,0.0015,0.0016
Tolpis umbellata,Compositae,999,16,0.48529,0.4367,1.2671,2.00869,0.64958,0.2972,0.25577,0.0064,0.0062,0.1345,0.0443,0.7016,0.0016,0.0033
Tolpis virgata,Compositae,999,39,0.67634,0.47827,0.53339,1.70225,0.20237,0.34476,0.26141,0.0028,0.0044,0.5466,0.0272,0.6487,0.0024,0.003
Tordylium apulum,Apiaceae,999,36,0.79563,0.62415,0.88823,1.90217,0.3404,0.29252,0.35797,0.0012,0.0025,0.1942,0.0346,0.3839,0.001,0.0013
Tordylium maximum,Apiaceae,999,33,0.7311,0.65741,0.9832,1.77757,0.61111,0.19686,0.43704,0.0022,0.0042,0.5472,0.024,0.6081,0.0011,0.0036
Tordylium officinale,Apiaceae,999,9,0.79091,0.70909,1.07058,1.92745,0.59312,0.20455,0.44091,0.0061,0.0092,0.3243,0.0328,1.822,0.0052,0.016
Torilis africana,Apiaceae,999,24,0.76204,0.54455,0.54342,1.63898,0.33011,0.23889,0.30841,0.0036,0.0095,1.1974,0.0561,1.2914,0.0017,0.0054
Torilis arvensis,Apiaceae,999,71,0.69468,0.47882,0.47519,1.53577,0.28194,0.21231,0.26004,0.0011,0.002,0.2802,0.0169,0.3395,9.00E-04,0.0019
Torilis japonica,Apiaceae,999,68,0.65475,0.35168,0.32188,1.41924,0.21392,0.19291,0.19061,8.00E-04,0.0014,0.256,0.0161,0.2609,6.00E-04,0.001
Torilis leptophylla,Apiaceae,999,37,0.79737,0.66124,0.77034,1.91263,0.39119,0.24715,0.41124,0.002,0.0036,0.3394,0.0162,0.5627,0.0013,0.0025
Torilis nodosa,Apiaceae,999,49,0.7781,0.6675,0.89195,1.84883,0.43208,0.25388,0.40732,0.0016,0.0026,0.2457,0.0156,0.4286,0.0013,0.0021
Tozzia alpina,Orobanchaceae,999,16,0.41892,0.20946,0.4611,1.38728,0.03336,0.18533,0.112,0.0075,0.0031,1.2466,0.0651,0.8043,0.0015,4.00E-04
Trachelium caeruleum,Campanulaceae,40,6,0.4,0.295,0.64455,1.22403,0.3363,0.255,0.08,0.0082,0.0021,1.0275,0.0905,2.0392,0.0021,3.00E-04
Trachynia distachya,Poaceae,999,63,0.7098,0.56671,0.82132,1.65119,0.22768,0.33001,0.26699,0.0013,0.0017,0.1492,0.0324,0.2762,9.00E-04,0.001
Trachystemon orientalis,Boraginaceae,999,8,0.69242,0.12206,0.03404,1.309,0,0.18209,0.1,0.0029,0.0013,0.5714,0.0237,0,8.00E-04,0.0016
Tradescantia fluminensis,Commelinaceae,423,6,0.625,0.44286,0.48792,1.39794,0.14086,0.19,0.15,0.0079,0.0094,0.9527,0.2175,2.132,0.0026,0.0082
Tragopogon balcanicus,Compositae,999,12,0.45,0.41558,1.2636,1.96668,0.21263,0.32838,0.21818,0.0039,0.0041,0.9762,0.0425,1.2291,0.0031,0.0014
Tragopogon brevirostris,Compositae,26,7,0.495,0.495,2.03152,2.03152,0.54821,0.215,0.355,0.0114,0.0114,0.0236,0.0236,1.9468,0.0059,0.0081
Tragopogon crocifolius,Compositae,999,23,0.51944,0.43014,0.9014,1.87588,0.34401,0.33382,0.19867,0.0053,0.0052,0.8403,0.0329,1.7492,0.0047,0.0038
Tragopogon dasyrhynchus,Compositae,999,14,0.5486,0.54299,1.83376,2.10874,0.8497,0.37895,0.24,0.0048,0.0049,0.0336,0.0301,0.9911,0.0051,0.0055
Tragopogon dubius,Compositae,999,71,0.60379,0.55348,1.11243,1.81915,0.61228,0.26799,0.27156,0.0015,0.0017,0.1196,0.0212,0.2904,0.0013,0.0019
Tragopogon filifolius,Compositae,999,3,0.49091,0.49091,2.03152,2.03152,1.16345,0.32,0.115,4.00E-04,4.00E-04,0.0147,0.0147,0.1942,0.0042,0.002
Tragopogon heterospermus,Compositae,997,6,0.37778,0.36296,1.92745,1.96013,0.08482,0.15714,0.6,0.0122,0.0109,1.6453,0.0651,3.0999,0.0088,0.0198
Tragopogon podolicus,Compositae,999,25,0.63111,0.60032,1.19212,1.8119,0.67896,0.16879,0.18719,0.0037,0.0043,0.3168,0.0232,0.6644,0.0018,0.0032
Tragopogon porrifolius,Compositae,999,37,0.76769,0.61807,0.89122,1.84274,0.42195,0.26818,0.35125,0.002,0.0038,0.3412,0.0174,0.5261,0.0013,0.002
Tragopogon pratensis,Compositae,999,80,0.50996,0.50194,1.77695,2.09272,1.26941,0.17348,0.31239,2.00E-04,3.00E-04,0.0346,0.0032,0.0692,4.00E-04,5.00E-04
Tragopogon pterodes,Compositae,999,9,0.38361,0.38361,2.1107,2.1107,0.23078,0.32667,0.17377,0.0027,0.0027,0.0086,0.0086,1.2888,0.0022,0.0017
Tragopogon samaritanii,Compositae,999,10,0.465,0.39744,0.98065,2.05451,0.16215,0.33846,0.12895,0.0039,0.0051,1.1789,0.0532,1.7979,0.0037,0.0034
Tragopogon tanaiticus,Compositae,999,8,0.33519,0.33333,1.65213,1.65394,0.38253,0.1537,0.41481,0.0011,0.0012,0.0489,0.0491,1.0334,0.0027,0.002
Tragopogon tommasinii,Compositae,999,5,0.51176,0.45882,1.00903,1.85293,0.97217,0.26857,0.12424,5.00E-04,0.0019,0.4125,0.0235,0.395,0.0034,0.0015
Tragopogon ucrainicus,Compositae,689,7,0.485,0.485,2.06048,2.06048,1.33022,0.265,0.345,0.0055,0.0055,0.011,0.011,0.0096,0.004,0.0016
Tragus racemosus,Poaceae,999,23,0.71712,0.70545,1.62504,2.08474,0.65954,0.21351,0.44737,0.0063,0.0063,0.1056,0.1006,0.7136,0.0031,0.0065
Trapa natans,Lythraceae,999,13,0.28462,0.28429,1.56245,1.56297,0.02914,0.01019,0.01558,0.0016,0.0016,0.0131,0.0131,0.4676,7.00E-04,0.0012
Traunsteinera globosa,Orchidaceae,999,24,0.42618,0.41583,1.61663,1.90453,0.44329,0.26087,0.14662,0.0015,0.0015,0.0256,0.0174,0.6445,0.0011,0.0018
Tribulus terrestris,Zygophyllaceae,999,30,0.75021,0.74298,1.76077,2.02805,0.67734,0.17901,0.57,0.0049,0.005,0.1897,0.0621,0.8404,0.0023,0.005
Trichophorum alpinum,Cyperaceae,999,21,0.2202,0.17532,1.13708,1.6612,0.38847,0.10239,0.089,0.0016,7.00E-04,0.1996,0.0255,0.5875,7.00E-04,0.0016
Trichophorum cespitosum,Cyperaceae,999,56,0.21361,0.17828,1.1567,1.42792,0.19193,0.17593,0.13495,6.00E-04,4.00E-04,0.0638,0.0129,0.1628,5.00E-04,4.00E-04
Trichophorum pumilum,Cyperaceae,999,5,0.21481,0.21481,2.01639,2.01639,0.60078,0.12903,0.01481,0.0062,0.0062,0.0076,0.0076,1.9356,0.0038,0.0015
Trientalis europaea,Primulaceae,999,73,0.63871,0.13229,0.1274,1.30396,0.02824,0.19333,0.13859,7.00E-04,3.00E-04,0.1199,0.0213,0.0867,2.00E-04,3.00E-04
Trifolium alpestre,Fabaceae,999,76,0.55392,0.33221,0.44136,1.53344,0.32879,0.25258,0.1451,6.00E-04,8.00E-04,0.193,0.0223,0.206,4.00E-04,5.00E-04
Trifolium alpinum,Fabaceae,999,25,0.31405,0.30301,1.50257,1.79046,0.0305,0.27786,0.09485,5.00E-04,4.00E-04,0.0988,0.0105,0.1397,6.00E-04,5.00E-04
Trifolium ambiguum,Fabaceae,999,18,0.49217,0.47565,1.49859,1.89672,0.77654,0.3,0.13545,0.0026,0.0033,0.5954,0.0243,0.6727,0.0022,0.0039
Trifolium angulatum,Fabaceae,999,7,0.4629,0.4629,2.34434,2.34434,0.26148,0.51695,0.23651,0.0044,0.0044,0.0062,0.0062,2.3132,0.0081,0.0045
Trifolium angustifolium,Fabaceae,999,66,0.66297,0.55959,0.86266,1.77026,0.47455,0.29178,0.28711,0.0014,0.0016,0.1491,0.0134,0.2521,8.00E-04,0.001
Trifolium arvense,Fabaceae,999,120,0.53746,0.50691,1.32442,1.96973,0.5926,0.30223,0.35081,8.00E-04,8.00E-04,0.0554,0.0053,0.1415,6.00E-04,9.00E-04
Trifolium aureum,Fabaceae,999,45,0.53846,0.48278,1.02807,1.87452,0.70983,0.24362,0.28858,0.0017,0.002,0.3072,0.0346,0.5022,0.002,0.0023
Trifolium badium,Fabaceae,999,36,0.35374,0.33542,1.44962,1.8131,0.21265,0.29171,0.18737,0.0016,0.0014,0.198,0.0182,0.4785,0.0021,0.0015
Trifolium bivonae,Fabaceae,999,4,0.66471,0.14545,0.07075,1.36045,0,0.30606,0.10606,0.0069,0.0035,1.8654,0.0861,0,0.002,2.00E-04
Trifolium bocconei,Fabaceae,999,12,0.52895,0.51184,1.76338,2.22464,0.79449,0.30247,0.3225,0.008,0.008,0.0374,0.0065,0.8263,0.0042,0.0061
Trifolium boissieri,Fabaceae,999,10,0.78182,0.45909,0.45172,1.68441,0.13614,0.28636,0.25455,0.0019,0.0086,1.0635,0.0222,0.6408,0.0021,0.0037
Trifolium campestre,Fabaceae,999,129,0.57992,0.51518,1.07112,1.9013,0.55737,0.29518,0.30954,6.00E-04,6.00E-04,0.0604,0.0067,0.1123,5.00E-04,6.00E-04
Trifolium cherleri,Fabaceae,999,32,0.63155,0.58916,1.22145,2.02095,0.47363,0.34163,0.33477,0.0027,0.0029,0.1628,0.0337,0.4209,0.0018,0.0017
Trifolium cinctum,Fabaceae,999,1,0.6,0.6,2.30103,2.30103,2,0.2,0.1,0,0,0,0,0,0,0
Trifolium dalmaticum,Fabaceae,999,17,0.50094,0.47596,1.34148,2.08167,0.51384,0.36176,0.22871,0.0039,0.0042,0.3695,0.0179,0.9101,0.0028,0.0027
Trifolium diffusum,Fabaceae,999,14,0.61618,0.40606,0.45761,1.67539,0.37234,0.3197,0.20746,0.0036,0.0071,1.0867,0.0506,1.1307,0.0036,0.0069
Trifolium dubium,Fabaceae,999,83,0.50969,0.50576,1.97957,2.23767,1.1694,0.28385,0.36995,3.00E-04,3.00E-04,0.0212,0.0027,0.0611,7.00E-04,4.00E-04
Trifolium echinatum,Fabaceae,999,24,0.76667,0.74752,1.4102,1.91954,0.87573,0.24599,0.4,0.0034,0.0046,0.4841,0.0235,0.5547,0.0021,0.003
Trifolium fragiferum,Fabaceae,999,63,0.5227,0.5119,1.68021,2.23811,0.61392,0.53264,0.18076,7.00E-04,7.00E-04,0.0151,0.0081,0.2279,0.0012,8.00E-04
Trifolium glomeratum,Fabaceae,999,44,0.58121,0.55047,1.37536,2.02108,0.51958,0.34665,0.33939,0.0028,0.0029,0.1266,0.0166,0.3899,0.0019,0.0016
Trifolium grandiflorum,Fabaceae,999,12,0.75085,0.35902,0.2016,1.49027,0.13832,0.24655,0.21333,0.0026,0.0104,1.3085,0.0559,1.3739,0.0027,0.0049
Trifolium heldreichianum,Fabaceae,204,13,0.50952,0.33333,0.54545,1.63558,0.15227,0.25,0.15238,0.0125,0.0088,2.3119,0.1406,2.9579,0.0066,0.0051
Trifolium hirtum,Fabaceae,999,25,0.67311,0.645,1.38624,2.04777,0.64264,0.29407,0.36904,0.0024,0.0036,0.4312,0.0204,0.4551,0.0012,0.0026
Trifolium hybridum,Fabaceae,999,69,0.58157,0.57087,1.63975,1.97838,0.78688,0.22394,0.30653,9.00E-04,9.00E-04,0.0302,0.0089,0.1844,0.001,0.0011
Trifolium infamia-ponertii,Fabaceae,999,15,0.78284,0.53459,0.87725,1.80795,0.18031,0.35344,0.31278,0.0023,0.0044,0.3019,0.0276,0.7409,0.0019,0.0025
Trifolium lappaceum,Fabaceae,999,38,0.68808,0.6016,0.91864,1.86991,0.37626,0.3,0.33454,0.0057,0.0069,0.6228,0.0267,1.0562,0.0033,0.0038
Trifolium leucanthum,Fabaceae,999,19,0.7283,0.64811,0.89597,1.89441,0.60856,0.26436,0.38155,0.0069,0.0071,0.4815,0.0233,1.0978,0.0029,0.005
Trifolium ligusticum,Fabaceae,999,12,0.46479,0.40143,0.94503,1.84663,0.45302,0.31739,0.24028,0.0078,0.008,0.6825,0.0356,1.3846,0.006,0.0043
Trifolium lucanicum,Fabaceae,107,6,0.81,0.81,1.69144,1.69144,0.33771,0.245,0.445,0.0014,0.0014,0.0262,0.0262,0.6786,7.00E-04,8.00E-04
Trifolium lupinaster,Fabaceae,999,14,0.55042,0.41121,0.67975,1.79885,0.58317,0.30984,0.14958,0.0033,0.0053,0.9518,0.0399,1.1144,0.0034,0.0038
Trifolium medium,Fabaceae,999,83,0.56389,0.38625,0.54218,1.62322,0.45499,0.2071,0.20782,4.00E-04,7.00E-04,0.1442,0.0125,0.1587,4.00E-04,6.00E-04
Trifolium michelianum,Fabaceae,999,23,0.56489,0.56028,1.93351,2.138,0.8978,0.31395,0.15388,0.0023,0.0023,0.0156,0.0104,0.5334,0.0046,0.0029
Trifolium micranthum,Fabaceae,999,33,0.53677,0.53266,1.95415,2.27654,0.59458,0.38378,0.36633,0.0024,0.0024,0.0116,0.01,0.5615,0.0037,0.0023
Trifolium montanum,Fabaceae,999,80,0.5008,0.46007,1.15806,1.88171,0.81709,0.26575,0.16527,3.00E-04,4.00E-04,0.0706,0.0084,0.0977,3.00E-04,4.00E-04
Trifolium nigrescens,Fabaceae,999,46,0.73069,0.68791,1.42328,2.03798,0.47792,0.33312,0.39825,0.0018,0.0021,0.1211,0.0202,0.3447,0.0017,0.0015
Trifolium noricum,Fabaceae,999,9,0.28,0.25893,1.41373,1.70934,0,0.25472,0.10741,0.0027,0.0022,0.0889,0.0528,0,0.0019,0.0015
Trifolium ochroleucon,Fabaceae,999,63,0.55471,0.37729,0.53757,1.65217,0.42256,0.27034,0.16965,6.00E-04,0.0011,0.2419,0.0126,0.2608,0.001,9.00E-04
Trifolium ornithopodioides,Fabaceae,999,15,0.52973,0.52973,2.39194,2.39194,0.62487,0.51143,0.36842,0.0103,0.0103,0.0146,0.0146,2.4131,0.0165,0.011
Trifolium pallescens,Fabaceae,999,32,0.33699,0.31423,1.35537,1.62965,0.03407,0.22449,0.1488,0.0014,0.0011,0.0603,0.0303,0.4285,0.0016,0.0014
Trifolium pallidum,Fabaceae,999,26,0.66144,0.65345,1.76571,2.08658,0.85428,0.2313,0.25108,0.0021,0.0026,0.2131,0.0109,0.3536,0.001,0.0023
Trifolium pannonicum,Fabaceae,999,19,0.49764,0.47533,1.34143,1.95059,1.06015,0.23082,0.21296,0.0013,0.0018,0.38,0.0198,0.466,0.0017,0.0022
Trifolium parnassii,Fabaceae,999,11,0.33559,0.32069,2.21015,2.21015,0.02959,0.31525,0.12069,6.00E-04,2.00E-04,0.0014,0.0014,0.0786,8.00E-04,2.00E-04
Trifolium patens,Fabaceae,999,27,0.54283,0.53997,2.05476,2.21349,1.3392,0.17206,0.26491,0.001,0.0011,0.1017,0.005,0.246,0.0012,0.0017
Trifolium patulum,Fabaceae,999,8,0.7,0.11607,0.01821,1.31522,0,0.20377,0.1,0,5.00E-04,0.1294,0.0051,0,9.00E-04,0
Trifolium phleoides,Fabaceae,988,9,0.48,0.46667,1.2999,2.14377,0.49854,0.36667,0.20435,0.0146,0.0143,0.3239,0.0221,3.3077,0.0164,0.0097
Trifolium physodes,Fabaceae,999,29,0.7,0.32649,0.20153,1.54614,0.04353,0.29615,0.18287,0.0013,0.0033,0.5172,0.024,0.4095,0.0012,0.0016
Trifolium pignantii,Fabaceae,999,13,0.69648,0.10821,0.01176,1.30548,0.00419,0.20392,0.0995,5.00E-04,9.00E-04,0.2285,0.0376,0.0118,0,2.00E-04
Trifolium polyphyllum,Fabaceae,999,4,0.2975,0.2975,1.85387,1.85387,0,0.28,0.08,0.0011,0.0011,0.0444,0.0444,0,0.001,0.001
Trifolium pratense,Fabaceae,999,145,0.51602,0.49187,1.37487,2.0182,0.89491,0.26179,0.32262,2.00E-04,2.00E-04,0.0183,0.0039,0.0386,2.00E-04,2.00E-04
Trifolium purpureum,Fabaceae,999,17,0.59565,0.56818,1.2424,1.85246,0.56827,0.27333,0.34286,0.0075,0.0103,1.534,0.0655,1.3658,0.0069,0.0079
Trifolium repens,Fabaceae,999,164,0.53223,0.52325,1.73719,2.14421,0.94278,0.39374,0.35054,2.00E-04,2.00E-04,0.011,0.002,0.0332,3.00E-04,2.00E-04
Trifolium resupinatum,Fabaceae,999,55,0.63441,0.61472,1.48605,2.06884,0.59449,0.26914,0.26747,0.0025,0.0026,0.1598,0.0274,0.4699,0.0022,0.0021
Trifolium retusum,Fabaceae,999,26,0.59245,0.59245,2.25214,2.25214,0.39164,0.41563,0.34586,0.0033,0.0033,0.0033,0.0033,0.9636,0.0034,0.002
Trifolium rubens,Fabaceae,999,38,0.58019,0.31811,0.36605,1.52955,0.32627,0.24573,0.11396,8.00E-04,0.0014,0.3535,0.0163,0.3533,4.00E-04,6.00E-04
Trifolium scabrum,Fabaceae,999,64,0.67232,0.58995,1.08234,1.81419,0.30956,0.35306,0.32201,0.0012,0.0013,0.097,0.0253,0.2325,9.00E-04,9.00E-04
Trifolium setiferum,Fabaceae,999,10,0.45556,0.45556,1.87429,1.87429,0.51145,0.34286,0.24,0.0035,0.0035,0.0188,0.0188,0.6194,0.0022,0.0021
Trifolium spadiceum,Fabaceae,999,29,0.46474,0.44314,1.42843,1.86116,0.7607,0.18675,0.20367,0.0023,0.0024,0.2298,0.0175,0.4628,0.0012,0.0022
Trifolium squamosum,Fabaceae,999,22,0.55478,0.49829,1.01374,2.04273,0.44837,0.39244,0.196,0.0046,0.0051,0.2603,0.0155,1.0972,0.0075,0.0042
Trifolium squarrosum,Fabaceae,999,18,0.72373,0.68519,1.25306,2.06048,0.729,0.25088,0.40893,0.0073,0.0088,0.8397,0.0405,1.4817,0.007,0.0071
Trifolium stellatum,Fabaceae,999,50,0.75116,0.58988,0.76689,1.82869,0.28475,0.30899,0.31786,0.0012,0.0018,0.1674,0.0186,0.2906,0.0011,0.0011
Trifolium striatum,Fabaceae,999,44,0.54358,0.53676,1.80603,2.17215,0.66547,0.35115,0.33482,0.001,0.0011,0.0588,0.0047,0.2089,0.0012,0.0012
Trifolium strictum,Fabaceae,999,30,0.48101,0.47324,1.67421,1.97167,0.66098,0.34269,0.24821,0.002,0.0021,0.1437,0.0115,0.4275,0.0024,0.0016
Trifolium subterraneum,Fabaceae,999,47,0.66037,0.62634,1.30137,2.10603,0.33014,0.45436,0.38524,0.0025,0.0027,0.1882,0.0106,0.4374,0.0025,0.0017
Trifolium suffocatum,Fabaceae,999,29,0.71746,0.69686,1.6414,2.07777,0.30239,0.46719,0.41529,0.0034,0.0036,0.1242,0.0071,0.6326,0.0037,0.0025
Trifolium sylvaticum,Fabaceae,999,19,0.57706,0.47091,0.73104,1.79226,0.43332,0.33727,0.30367,0.0057,0.005,0.3867,0.0292,0.8379,0.0048,0.0031
Trifolium tenuifolium,Fabaceae,999,17,0.5227,0.46525,1.06942,1.81463,0.37675,0.35274,0.26853,0.0031,0.0032,0.3208,0.0234,0.58,0.0023,0.0016
Trifolium thalii,Fabaceae,999,32,0.35452,0.34007,1.41354,1.75513,0.17037,0.38981,0.19623,0.001,9.00E-04,0.1711,0.0588,0.2775,0.0014,8.00E-04
Trifolium tomentosum,Fabaceae,999,35,0.78769,0.70782,1.27171,1.99618,0.35633,0.35886,0.41465,0.0034,0.0039,0.2128,0.0144,0.6919,0.0034,0.0022
Trifolium trichopterum,Fabaceae,999,11,0.50645,0.49688,2.00204,2.00204,0.56488,0.35333,0.25161,0.0051,0.0052,0.3541,0.0697,1.3499,0.0047,0.0035
Trifolium uniflorum,Fabaceae,999,22,0.69794,0.45354,0.55897,1.44715,0.12842,0.37475,0.27979,0.0053,0.0055,0.6035,0.2045,0.7683,0.0044,0.0036
Trifolium velenovskyi,Fabaceae,999,9,0.5,0.49726,2.1107,2.1107,1.34054,0.26056,0.22917,0.0031,0.0037,0.6334,0.0273,0.8299,0.0015,0.0033
Triglochin barrelieri,Juncaginaceae,999,15,0.44466,0.44369,1.70232,1.70443,0.04576,0.23366,0.21682,0.0077,0.0077,0.2704,0.2704,0.8013,0.0062,0.0043
Triglochin maritima,Juncaginaceae,999,44,0.48568,0.48563,2.25898,2.25933,0.11494,0.39255,0.19879,6.00E-04,6.00E-04,0.0039,0.0039,0.2846,0.0014,6.00E-04
Triglochin palustris,Juncaginaceae,999,48,0.38238,0.37869,1.92799,1.99267,0.64814,0.38375,0.11573,0.0011,0.0011,0.0268,0.0112,0.2856,0.0017,8.00E-04
Trigonella balansae,Fabaceae,999,17,0.68667,0.58696,0.9224,1.2803,0.27768,0.17955,0.38511,0.0123,0.0122,0.4566,0.4712,1.689,0.0054,0.0106
Trigonella esculenta,Fabaceae,999,15,0.83333,0.78,1.19346,2.0617,0.50934,0.21667,0.43784,0.0053,0.0066,0.2726,0.0217,1.9289,0.0043,0.0059
Trigonella gladiata,Fabaceae,999,16,0.61765,0.58696,1.90046,2.09939,0.39377,0.39118,0.26562,0.0071,0.0079,0.727,0.0327,1.4142,0.0056,0.0055
Trinia dalechampii,Apiaceae,999,17,0.30865,0.30622,1.63407,1.63407,0.02924,0.31256,0.11469,0.001,0.0012,0.3277,0.3277,0.2085,0.0019,0.0011
Trinia frigida,Apiaceae,999,7,0.45,0.25,0.55791,1.66254,0,0.275,0.095,0,0,0,0,0,0,0
Trinia glauca,Apiaceae,999,50,0.47083,0.40453,1.09012,1.80609,0.33868,0.37187,0.19223,8.00E-04,8.00E-04,0.1485,0.0157,0.2937,6.00E-04,6.00E-04
Trinia hispida,Apiaceae,999,3,0.5,0.5,2.43933,2.43933,0.46852,0.48182,0.22083,0.0058,0.0058,0.086,0.086,2.16,0.0078,0.0046
Trinia kitaibelii,Apiaceae,999,10,0.49589,0.40658,0.89731,1.70997,0.43441,0.33333,0.13143,0.002,0.0039,0.8978,0.0452,1.1244,0.0031,0.0014
Trinia multicaulis,Apiaceae,999,8,0.46,0.46,2.00758,2.00758,0.58317,0.387,0.15743,0.0028,0.0028,0.1139,0.1139,1.3629,0.0037,0.0026
Trinia muricata,Apiaceae,999,6,0.47303,0.47303,1.78778,1.78778,0.69425,0.46333,0.19787,0.0012,0.0012,0.0367,0.0367,0.7281,0.0014,5.00E-04
Tripidium ravennae,Poaceae,999,24,0.47086,0.362,0.86537,1.82951,0.21642,0.20608,0.18733,0.0031,0.0032,0.6315,0.0233,0.8525,0.0015,0.0054
Triplachne nitens,Poaceae,999,11,0.52462,0.49583,1.19252,1.21394,0.14312,0.19219,0.4,0.0109,0.0106,0.488,0.4903,1.3477,0.0042,0.0107
Tripleurospermum caucasicum,Compositae,999,17,0.36951,0.3631,1.49048,1.63258,0.02571,0.13457,0.1988,0.004,0.0039,0.0451,0.0422,0.7777,0.0046,0.0035
Tripleurospermum maritimum aggr.,Compositae,999,81,0.79431,0.79026,1.81126,1.96899,0.45946,0.15939,0.64632,5.00E-04,5.00E-04,0.0186,0.0048,0.1108,4.00E-04,8.00E-04
Tripleurospermum tenuifolium,Compositae,999,24,0.57778,0.57045,1.79654,2.03562,0.54226,0.28605,0.3561,0.0066,0.0066,0.2031,0.0283,2.6473,0.0101,0.0156
Tripodion tetraphyllum,Fabaceae,999,16,0.79526,0.58732,0.84094,1.80954,0.22256,0.36636,0.28531,0.0012,0.004,0.3186,0.0186,0.6354,0.002,0.002
