"Analysis.Names","heightmean","heightmax","floweringmin","floweringmax","floweringmean","floweringwidth","alien","bryophyte","chamaephyte","geophyte","hemicryptophyte","hydrophyte","therophyte","phanerophyte","repetido","EIVE1.M","EIVE1.N","EIVE1.R","EIVE1.L","EIVE1.T","Disturbance.Severity","Disturbance.Severity.herblayer","Disturbance.Frequency","Disturbance.Frequency.herblayer","Mowing.Frequency","Grazing.Pressure","Soil.Disturbance"
"Erica vagans",10,80,7,9,8,3,0,0,0,0,0,0,0,1,0,4.6,1.7,4.2,7.5,5.6,0.57803,0.2602,0.33521,1.41201,0.11849,0.28771,0.10958
"Erigeron acris",75,6.5,6,9,7.5,4,0,0,0,0,1,0,0,0,0,3.6,3.4,7.2,8.8,3.9,0.53274,0.49067,1.21448,1.81807,0.64524,0.2535,0.25844
"Erigeron bonariensis",65,123,1,12,6.5,12,1,0,0,0,1,0,1,0,0,3.4,7.4,7,7.7,6.8,0.80785,0.77341,1.24492,1.8485,0.74275,0.16596,0.50788
"Erigeron canadensis",50,120,6,11,8.5,6,1,0,0,0,0,0,1,0,0,3.6,5.7,5.9,8,4.8,0.71321,0.68276,1.29546,1.8275,0.62188,0.18605,0.48742
"Erigeron karvinskianus",50,30,2,11,6.5,10,1,0,0,0,1,0,0,0,0,3,3.6,7.2,7.2,6.3,NA,NA,NA,NA,NA,NA,NA
"Erigeron sumatrensis",14,123,1,12,6.5,12,1,0,0,0,0,0,1,0,1,4.2,7.2,7.3,7.7,6.6,0.81239,0.77563,1.18046,1.83675,0.67511,0.14503,0.46994
"Erinus alpinus",70,25,5,9,7,5,0,0,0,0,1,0,0,0,0,2.6,2.3,8.3,8.7,2.7,0.38841,0.33297,0.91444,1.24091,0.15354,0.25668,0.12376
"Erodium botrys",7,60,3,6,4.5,4,0,0,0,0,0,0,1,0,0,2.3,4.2,7,8.8,6.9,0.66,0.66,1.87604,1.87604,0.26302,0.42857,0.39451
"Erodium ciconium",20,120,3,7,5,5,0,0,0,0,0,0,1,0,0,2.8,6.1,7.1,8.3,6.3,0.77722,0.75082,1.40522,2.13558,0.65225,0.25193,0.47243
"Erodium cicutarium",2.5,50,1,12,6.5,12,0,0,0,0,0,0,1,0,0,3,4.9,5.7,8,4.5,0.68175,0.6716,1.70824,1.99767,0.41848,0.25411,0.57318
"Erodium malacoides",3.5,60,1,7,4,7,0,0,0,0,0,0,1,0,0,2.6,7.1,6,8.6,6.6,0.842,0.79898,1.52906,1.99934,0.65143,0.22897,0.46275
"Erodium moschatum",8,90,1,8,4.5,8,0,0,0,0,0,0,1,0,0,3.1,5.4,6.5,8,6.4,0.84835,0.83407,1.63447,2.32557,0.76219,0.24889,0.49892
"Eruca vesicaria",20,100,2,6,4,5,0,0,0,0,0,0,1,0,0,3.5,6,7,8,5.6,0.7971,0.77246,1.40486,2.02576,0.71994,0.20794,0.51364
"Erucastrum nasturtiifolium",40,60,4,7,5.5,4,0,0,0,0,1,0,0,0,0,4.6,5,7.7,8,5,0.57766,0.42539,0.642,1.42372,0.24104,0.22849,0.25217
"Eryngium bourgatii",6,50,7,9,8,3,0,0,0,0,1,0,0,0,0,3,2.9,7.8,9,2.8,0.46076,0.44937,1.9048,1.96897,0.54662,0.37358,0.21582
"Eryngium campestre",20,60,6,8,7,3,0,0,0,1,0,0,0,0,0,2.6,3.7,7.7,8.8,5.6,0.54854,0.4861,1.09401,1.85568,0.5751,0.32755,0.22937
"Eryngium duriaei",30,100,7,9,8,3,0,0,0,0,1,0,0,0,0,2.6,2.3,2.7,7.8,2.5,NA,NA,NA,NA,NA,NA,NA
"Eryngium maritimum",15,50,4,8,6,5,0,0,0,0,1,0,0,0,0,3.7,4.4,7.4,9.1,5.4,0.43501,0.43009,1.90588,2.03676,0.02901,0.12892,0.70582
"Eryngium tenue",3,40,6,9,7.5,4,0,0,0,0,0,0,1,0,0,2.8,1.8,3.7,8.8,5.6,0.35862,0.29655,0.99583,2.05078,0.74224,0.32069,0.20714
"Erysimum cheiri",20,60,3,5,4,3,1,0,1,0,0,0,0,0,0,3.6,5.3,7.9,8.3,5.7,0.48409,0.40612,0.68327,0.88906,0.09227,0.106,0.24667
"Erysimum linifolium",5,40,3,8,5.5,6,0,0,1,0,0,0,0,0,0,2.1,1.2,5.2,8.8,5.3,NA,NA,NA,NA,NA,NA,NA
"Erythronium dens-canis",6,30,3,5,4,3,0,0,0,1,0,0,0,0,0,4.7,4.3,5.9,4.6,5.2,0.65623,0.13746,0.0682,1.33685,0.01716,0.21052,0.10412
"Eucalyptus globulus",4500,5500,3,5,4,3,1,0,0,0,0,0,0,1,0,3.3,4.7,3.9,8.8,6.8,0.805,0.29048,0.15986,1.40682,0.06478,0.25238,0.24286
"Eupatorium cannabinum",39,104,7,10,8.5,4,0,0,0,0,1,0,0,0,0,6,7.5,6.9,6.2,4.3,0.52491,0.35326,0.53843,1.39554,0.27948,0.17392,0.13083
"Euphorbia amygdaloides",90,90,4,8,6,5,0,0,1,0,0,0,0,0,0,4.5,5.6,7.1,3.3,4.3,0.68767,0.12857,0.03522,1.30512,0.01363,0.19907,0.10186
"Euphorbia chamaesyce",30,30,5,10,7.5,6,0,0,0,0,0,0,1,0,0,2.5,5.2,6.9,8.2,6.5,0.71667,0.70471,1.51665,1.88842,0.68413,0.15,0.43171
"Euphorbia dulcis",27,42,5,7,6,3,0,0,0,1,0,0,0,0,0,4.6,5.3,7.1,3.5,4.4,0.68841,0.1408,0.04572,1.31429,0.01584,0.19255,0.10226
"Euphorbia exigua",2,30,3,7,5,5,0,0,0,0,0,0,1,0,0,3.5,4.7,8,7.1,5.5,0.75645,0.72657,1.5257,1.97499,0.37725,0.25672,0.53909
"Euphorbia falcata",5,25,2,7,4.5,6,1,0,0,0,0,0,1,0,0,3.5,5.5,7.8,7.8,5.4,0.7899,0.7752,1.45163,1.92535,0.49038,0.21621,0.62975
"Euphorbia helioscopia",15,40,1,5,3,5,0,0,0,0,0,0,1,0,0,3.9,7.4,6.7,7.3,4.9,0.85358,0.84714,1.78045,2.04663,0.45095,0.14612,0.7835
"Euphorbia hyberna",40,60,4,6,5,3,0,0,0,0,1,0,0,0,0,4.5,4.8,5.6,5.5,4,0.64,0.14113,0.09252,1.33235,0.03296,0.20385,0.10141
"Euphorbia maculata",30,30,6,11,8.5,6,1,0,0,0,0,0,1,0,0,2.8,5.3,6.9,9.1,5.9,0.84135,0.83939,2.29522,2.31312,1.14449,0.14423,0.50374
"Euphorbia paralias",80,80,4,8,6,5,0,0,1,0,1,0,0,0,0,3.3,5.4,8,9.1,6.2,0.42485,0.42067,1.95679,2.07513,0.02158,0.12319,0.72372
"Euphorbia peplus",2,20,1,12,6.5,12,0,0,0,0,0,0,1,0,0,3.8,7.6,6.5,6.6,4.9,0.77916,0.67616,0.95204,1.78267,0.43197,0.25047,0.50688
"Euphorbia platyphyllos",30,80,4,9,6.5,6,0,0,0,0,0,0,1,0,0,4.4,6.2,6.8,6.5,5.3,0.71514,0.61633,0.78898,1.69953,0.39825,0.21755,0.46437
"Euphorbia portlandica",10,25,4,6,5,3,0,0,0,0,1,0,0,0,0,3,3,5.1,8.9,5.4,0.43102,0.40575,1.3459,1.63132,0.22215,0.18973,0.42192
"Euphorbia prostrata",35,35,4,12,8,9,1,0,0,0,0,0,1,0,0,2.4,4.8,6,8.4,7.1,0.85312,0.85312,1.81941,1.81941,0.95734,0.10645,0.575
"Euphorbia segetalis",80,80,3,10,6.5,8,0,0,0,0,1,0,1,0,0,3.3,6.9,6.9,7,6.1,0.58938,0.50639,0.76568,1.06639,0.2583,0.23372,0.24159
"Euphorbia serrata",20,60,2,7,4.5,6,0,0,1,0,0,0,0,0,0,3.1,4.2,7.1,7.7,6.1,0.72312,0.56888,0.7594,1.68228,0.47059,0.28997,0.31834
"Euphorbia stricta",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,5.2,6.5,7.3,5.5,4.8,0.58028,0.44647,0.62727,1.48107,0.3976,0.225,0.20915
"Euphorbia terracina",4,90,2,10,6,9,0,0,0,0,0,0,1,0,0,2.8,5.9,7.4,9.2,7.9,0.48235,0.41212,1.01604,1.7163,0.08454,0.19835,0.42308
"Fagopyrum esculentum",NA,NA,6,8,7,3,1,0,0,0,0,0,1,0,0,4.4,6.1,5.7,7.9,4.5,NA,NA,NA,NA,NA,NA,NA
"Fallopia convolvulus",NA,NA,5,10,7.5,6,0,0,0,0,0,0,1,0,0,4,5.7,6.2,7.1,4.6,0.81203,0.73541,0.90132,1.79567,0.33823,0.143,0.68478
"Fallopia dumetorum",NA,NA,5,10,7.5,6,0,0,0,0,0,0,1,0,0,4.3,6.8,6.1,5.6,4.7,0.66202,0.28464,0.22353,1.33671,0.10501,0.19366,0.16137
"Festuca elegans",35,116,5,7,6,3,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0.39176,0.19835,0.49101,1.33184,0.01153,0.27253,0.10611
"Festuca heterophylla",110,110,5,8,6.5,4,0,0,0,0,1,0,0,0,0,3.8,3.9,4.8,4.4,4.5,0.68709,0.12297,0.03303,1.30934,0.01823,0.20178,0.10776
"Festuca juncifolia",60,60,5,8,6.5,4,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0.43725,0.4234,1.63582,2.08778,0.05301,0.13774,0.6717
"Festuca microphylla",70,70,6,9,7.5,4,0,0,0,0,1,0,0,0,0,3.9,1.8,4.2,8.1,3.3,0.45627,0.43894,1.41839,1.93212,0.55476,0.45432,0.2423
"Festuca ovina",40,40,5,7,6,3,0,0,0,0,1,0,0,0,0,3.6,2.2,3.5,6.8,3.9,0.52087,0.339,0.57174,1.61497,0.29247,0.27496,0.19646
"Festuca rivas-martinezii",76,76,5,7,6,3,0,0,0,0,1,0,0,0,0,2.9,1.8,7.1,8.1,2.7,0.46452,0.36538,0.80125,1.60957,0.28819,0.32759,0.17692
"Festuca rubra aggr.",106,106,5,9,7,5,0,0,0,0,1,0,0,0,0,4.7,4.5,5.4,6.9,3.7,NA,NA,NA,NA,NA,NA,NA
"Festuca rubra",106,106,5,9,7,5,0,0,0,0,1,0,0,0,0,4.7,4.5,5.4,6.9,3.7,NA,NA,NA,NA,NA,NA,NA
"Festuca summilusitana aggr.",20,53,6,8,7,3,0,0,0,0,1,0,0,0,0,3.9,1.8,2.2,8.1,2.7,0.29195,0.27062,1.37592,1.44278,0.0566,0.24767,0.112
"Ficaria verna",5,45,1,6,3.5,6,0,0,0,1,0,0,0,0,0,5.2,7.4,6.9,4.2,4.1,0.66551,0.27982,0.17419,1.41859,0.08796,0.19647,0.14036
"Ficus carica",400,500,5,10,7.5,6,0,0,0,0,0,0,0,1,0,3.3,7,7.1,6.3,6.8,0.68283,0.343,0.29141,1.41706,0.06643,0.22915,0.13971
"Filago arvensis",5,50,4,9,6.5,6,0,0,0,0,0,0,1,0,0,2.4,2.9,4.3,8,5.1,0.5729,0.54545,1.32125,1.96293,0.53629,0.31204,0.37455
"Filago carpetana",1,10,3,7,5,5,0,0,0,0,0,0,1,0,0,2.4,1.8,4.2,8.1,5.2,0.35714,0.34884,1.79258,2.17323,0.81172,0.32875,0.23605
"Filago gallica",2,33,3,9,6,7,0,0,0,0,0,0,1,0,0,1.8,2.7,4.4,8.8,6.1,0.51774,0.44675,1.23353,1.90583,0.43185,0.32567,0.26482
"Filago germanica",5,50,5,9,7,5,0,0,0,0,0,0,1,0,0,2.9,2.8,5.1,8.1,5.4,0.59968,0.5665,1.29805,1.92567,0.4736,0.31173,0.34786
"Filago lutescens",2.5,50,4,8,6,5,0,0,0,0,0,0,1,0,0,2.5,2.5,3.9,9,5.3,0.61939,0.51132,0.81044,1.63016,0.33142,0.29438,0.2707
"Filago minima",2,30,3,9,6,7,0,0,0,0,0,0,1,0,0,2.3,1.7,3.8,8.9,4.6,0.41538,0.38938,1.34652,2.02533,0.44843,0.32735,0.35074
"Filago pygmaea aggr.",0.5,12,3,7,5,5,0,0,0,0,0,0,1,0,0,2.2,2.8,5,9,7.5,0.73723,0.66272,1.24849,1.73676,0.24291,0.41653,0.35948
"Filago pyramidata",1.5,60,2,8,5,7,0,0,0,0,0,0,1,0,0,2.3,3,5,9,6.4,0.75088,0.73376,1.62634,1.9621,0.36094,0.32503,0.43066
"Filipendula ulmaria",130,130,6,10,8,5,0,0,0,0,1,0,0,0,0,6.4,5.8,5.7,6.4,3.5,0.5456,0.4255,0.66293,1.54467,0.43704,0.18334,0.14844
"Foeniculum vulgare",50,250,6,11,8.5,6,0,0,0,0,1,0,0,0,0,3.5,6.3,7.6,8.1,6.5,0.75337,0.68749,1.0753,1.61588,0.52801,0.24295,0.30772
"Fragaria vesca",5,25,3,8,5.5,6,0,0,0,0,1,0,0,0,0,4.3,5.3,5.7,5.8,4,0.66057,0.18432,0.11528,1.34075,0.06671,0.20032,0.12881
"Frankenia laevis",8,50,4,11,7.5,8,0,0,1,0,0,0,0,0,0,5.5,5,7.4,8.7,6.3,0.34615,0.34477,0.9351,0.94076,0.04888,0.1686,0.16761
"Fraxinus angustifolia",1500,1500,12,16,2,5,0,0,0,0,0,0,0,1,0,6.1,6.6,6.6,6.1,5.6,0.67371,0.29483,0.1634,1.49067,0.02378,0.2039,0.11325
"Fraxinus excelsior",4000,4000,4,5,4.5,2,0,0,0,0,0,0,0,1,0,5.1,7,7.2,4.5,4.3,0.68492,0.2004,0.09288,1.36095,0.02819,0.18923,0.11279
"Fumaria bastardii",NA,NA,2,8,5,7,0,0,0,0,0,0,1,0,0,2.8,6.9,6.1,7.8,7.2,NA,NA,NA,NA,NA,NA,NA
"Fumaria capreolata",NA,NA,2,8,5,7,0,0,0,0,0,0,1,0,0,4.1,7.3,5,6.6,5.5,0.78754,0.65961,0.75724,1.62793,0.44628,0.22597,0.40538
"Fumaria densiflora",NA,NA,2,8,5,7,0,0,0,0,0,0,1,0,0,3,5.6,6.9,8,6.3,0.87234,0.83404,1.15875,2.05826,0.55377,0.16875,0.65957
"Fumaria martinii",NA,NA,1,6,3.5,6,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria muralis",NA,NA,1,10,5.5,10,0,0,0,0,0,0,1,0,0,3.9,7,4.6,7.1,5.1,0.80526,0.79022,1.52599,2.06512,0.81853,0.19545,0.71319
"Fumaria officinalis",NA,NA,2,8,5,7,0,0,0,0,0,0,1,0,0,4.2,7.3,6.1,6.6,4.5,0.84855,0.83472,1.58923,2.03177,0.49726,0.14454,0.78919
"Fumaria parviflora",NA,NA,2,6,4,5,0,0,0,0,0,0,1,0,0,3.3,5.7,7.5,7.5,5.7,0.84392,0.84218,2.12808,2.12882,0.87133,0.17755,0.70069
"Fumaria reuteri",NA,NA,1,6,3.5,6,0,0,0,0,0,0,1,0,0,3.1,6.6,6.2,8,5.1,NA,NA,NA,NA,NA,NA,NA
"Fumaria sepium",300,300,1,7,4,7,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fumaria vaillantii",NA,NA,3,7,5,5,0,0,0,0,0,0,1,0,0,3.4,6,7.5,7.1,5.2,0.81625,0.78172,1.27732,1.95477,0.47602,0.16679,0.74545
"Funaria hygrometrica",NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gagea liotardii",7,21,4,7,5.5,4,0,0,0,1,0,0,0,0,0,4.1,5.1,5.3,7.3,2.8,NA,NA,NA,NA,NA,NA,NA
"Gagea soleirolii",3,16,4,7,5.5,4,0,0,0,1,0,0,0,0,0,3.3,2.9,2.8,8.8,3.1,0.33016,0.29118,1.43109,1.62692,0.03449,0.27576,0.1303
"Galactites tomentosus",70,70,2,7,4.5,6,0,0,0,0,0,0,1,0,0,3,6.9,6.3,8.6,6.5,0.78296,0.70072,1.07227,1.81042,0.48638,0.26588,0.36977
"Galeopsis angustifolia",4,82,6,10,8,5,0,0,0,0,0,0,1,0,0,2.5,3.7,8.2,8.1,5.2,0.59575,0.48103,0.71025,1.47535,0.20472,0.17725,0.3357
"Galeopsis ladanum",4,82,6,10,8,5,0,0,0,0,0,0,1,0,0,3.4,3.6,7,7.9,3.9,0.74063,0.60533,0.65802,1.64556,0.31067,0.16629,0.50585
"Galeopsis tetrahit",4,130,6,10,8,5,0,0,0,0,0,0,1,0,0,4.4,7,5.3,6.3,3.8,NA,NA,NA,NA,NA,NA,NA
"Galinsoga parviflora",10,75,4,12,8,9,1,0,0,0,0,0,1,0,0,4.3,7.6,5.4,7.3,4.6,0.83442,0.82815,1.74393,1.95424,0.56492,0.14366,0.76251
"Galinsoga quadriradiata",15,70,4,7,5.5,4,1,0,0,0,0,0,1,0,0,4.3,7.6,5.6,7.1,5,0.83978,0.8353,1.7785,1.92575,0.41866,0.13339,0.7581
"Galium aparine",20,167,3,7,5,5,0,0,0,0,0,0,1,0,0,4.6,8.5,6,6.1,4.5,0.67317,0.45023,0.43732,1.4267,0.22701,0.17304,0.27906
"Galium divaricatum",3,24,4,7,5.5,4,0,0,0,0,0,0,1,0,0,2.8,2.6,4.1,8.7,6.1,0.50396,0.45471,1.27357,1.93464,0.49416,0.3521,0.24796
"Galium elongatum",60,100,5,8,6.5,4,0,0,0,0,1,0,0,0,0,7.3,5.6,5.5,5.8,4.1,NA,NA,NA,NA,NA,NA,NA
"Galium lucidum",12,92,5,8,6.5,4,0,0,0,0,1,0,0,0,0,2.6,2.1,8,7.4,4.8,0.54392,0.30655,0.43837,1.40841,0.17696,0.27331,0.13253
"Galium mollugo",23,98,5,8,6.5,4,0,0,0,0,1,0,0,0,0,4,5.4,6.2,6.6,4.3,NA,NA,NA,NA,NA,NA,NA
"Galium murale",1.4,25,3,6,4.5,4,0,0,0,0,0,0,1,0,0,2.7,3.9,7.1,7.2,6.5,0.74369,0.54536,0.73989,1.7835,0.2233,0.34386,0.32142
"Galium palustre",17,129,5,8,6.5,4,0,0,0,0,1,0,0,0,0,7.1,4.4,5.5,6.1,3.9,NA,NA,NA,NA,NA,NA,NA
"Galium parisiense",3,55,4,7,5.5,4,0,0,0,0,0,0,1,0,0,2.6,2.3,4.1,8.4,5.5,0.65234,0.57803,1.03921,1.84706,0.37314,0.3319,0.3055
"Galium pumilum aggr.",20,87,5,8,6.5,4,0,0,0,0,1,0,0,0,0,3.6,2.3,4.9,6.7,4,0.49271,0.3915,0.79045,1.61098,0.41524,0.26386,0.16447
"Galium pyrenaicum",1.5,15,6,8,7,3,0,0,1,0,0,0,0,0,0,3.1,1.7,8.1,8.6,1.4,0.33418,0.32654,1.61198,1.63271,0.08737,0.28437,0.14125
"Galium rotundifolium",10,39,6,7,6.5,2,0,0,0,0,1,0,0,0,0,4.5,3.9,4.7,2.1,4.4,0.69448,0.11606,0.02652,1.30203,0.00668,0.20061,0.11068
"Galium saxatile aggr.",2.5,40,6,8,7,3,0,0,0,0,1,0,0,0,0,4.8,2.9,2.1,6.5,3.7,0.53681,0.31607,0.50759,1.5052,0.22831,0.29299,0.2058
"Galium spurium",20,100,3,6,4.5,4,0,0,0,0,0,0,1,0,0,4.1,5.2,7.4,7.3,4.9,0.83293,0.80298,1.27791,1.92162,0.3616,0.13799,0.74562
"Galium tricornutum",10,83,3,6,4.5,4,0,0,0,0,0,0,1,0,0,3.1,4.8,7.6,7.3,5.7,0.85156,0.84016,1.54383,2.01717,0.56316,0.16247,0.75468
"Galium uliginosum",23,82,7,9,8,3,0,0,0,0,1,0,0,0,0,6.6,3.7,5.7,5.9,3.8,0.47446,0.44366,1.26668,1.72711,0.76149,0.18973,0.1461
"Galium verrucosum",2.5,35,1,6,3.5,6,0,0,0,0,0,0,1,0,0,2.3,5.7,7.8,8.2,7.2,0.78,0.70139,0.92551,1.78497,0.38447,0.25652,0.46901
"Galium verum",10,84,6,8,7,3,0,0,0,0,1,0,0,0,0,3.4,3.1,6.8,7.2,4.1,0.50155,0.46101,1.19593,1.8416,0.70249,0.27259,0.24586
"Gastridium ventricosum",75,75,6,7,6.5,2,0,0,0,0,0,0,1,0,0,2.5,2.8,7.6,8.3,6.7,0.62973,0.51738,0.8261,1.64831,0.31919,0.30661,0.24242
"Gaudinia fragilis",100,100,3,9,6,7,0,0,0,0,0,0,1,0,0,4.3,6.5,6,8.3,5.6,0.56009,0.53738,1.63044,2.11086,0.68049,0.25202,0.3383
"Genista falcata",50,200,3,6,4.5,4,0,0,0,0,0,0,0,1,0,3.1,1.2,4.2,6.7,5.9,0.56491,0.13158,0.14195,1.29799,0,0.24561,0.09825
"Genista florida",250,250,5,7,6,3,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,0.34904,0.21345,0.66085,1.3154,0.00467,0.27861,0.09554
"Genista tridentata",15,100,2,6,4,5,0,0,0,0,0,0,0,1,0,3.3,0.7,1,9.6,5.4,0.42903,0.2371,0.67545,1.46606,0.02044,0.32419,0.11129
"Gentiana lutea",50,170,6,7,6.5,2,0,0,0,0,1,0,0,0,0,4.4,2.8,4.9,7.5,2.5,0.47524,0.34384,0.66491,1.45506,0.25728,0.25853,0.13786
"Gentiana pneumonanthe",50,50,7,9,8,3,0,0,0,0,1,0,0,0,0,5.9,2.1,5.2,7.6,4.1,0.38363,0.36736,1.5575,1.85111,0.59809,0.27066,0.1073
"Geranium columbinum",9,60,4,8,6,5,0,0,0,0,0,0,1,0,0,3.2,5.3,6.8,7.4,5,0.58347,0.51136,0.97136,1.7404,0.44286,0.26112,0.29495
"Geranium dissectum",15,69,1,6,3.5,6,0,0,0,0,0,0,1,0,0,4.2,5.4,6.8,6.9,4.8,0.65728,0.63749,1.47109,1.96875,0.7311,0.22775,0.51018
"Geranium lucidum",5,45,3,7,5,5,0,0,0,0,0,0,1,0,0,4.3,7,6.8,4.7,5.3,0.6869,0.35413,0.255,1.42605,0.15198,0.23512,0.19413
"Geranium molle",10,45,1,8,4.5,8,0,0,0,0,0,0,1,0,0,3.5,5,5.7,7.3,4.8,0.62987,0.59281,1.27995,1.90491,0.6275,0.3036,0.42608
"Geranium phaeum",25,80,5,9,7,5,0,0,0,0,1,0,0,0,0,5,6.9,6.2,5.1,3.7,0.6054,0.32375,0.31933,1.31763,0.16233,0.16589,0.12962
"Geranium purpureum",5,40,3,7,5,5,0,0,0,0,0,0,1,0,0,3.2,5.9,6.4,6.6,6.4,0.70839,0.33024,0.24603,1.42663,0.10015,0.24979,0.18909
"Geranium pusillum",10,50,3,9,6,7,0,0,0,0,0,0,1,0,0,3.5,6.8,5.7,7,4.5,0.7907,0.77966,1.64404,2.03844,0.57393,0.17512,0.69169
"Geranium pyrenaicum",15,70,5,8,6.5,4,0,0,0,0,1,0,0,0,0,4.2,6.7,6.3,7.2,4.7,0.625,0.57125,1.04515,1.66169,0.72556,0.19316,0.35552
"Geranium robertianum",10,60,1,12,6.5,12,0,0,0,0,0,0,1,0,0,4.7,7.1,5.9,4.3,4.3,0.67445,0.21586,0.12312,1.32299,0.04699,0.18459,0.11909
"Geranium rotundifolium",10,45,2,7,4.5,6,0,0,0,0,0,0,1,0,0,3.2,5.3,6.8,7,5.4,0.74126,0.62833,0.85395,1.74067,0.40097,0.24209,0.39844
"Geranium sanguineum",15,60,5,8,6.5,4,0,0,0,0,1,0,0,0,0,3,3.2,7.5,6.8,4.6,0.5632,0.28613,0.36212,1.48503,0.22849,0.24466,0.13252
"Geum rivale",20,40,5,8,6.5,4,0,0,0,0,1,0,0,0,0,6.2,5.1,5.8,5.8,3.4,0.57394,0.39493,0.52852,1.48586,0.30851,0.17881,0.14281
"Geum sylvaticum",10,40,4,6,5,3,0,0,0,0,1,0,0,0,0,2.8,3.7,6.9,6.5,4.9,0.614,0.22717,0.2257,1.34647,0.1167,0.26201,0.10647
"Geum urbanum",25,60,5,7,6,3,0,0,0,0,1,0,0,0,0,4.7,7.4,6.6,4,4.2,0.67742,0.24559,0.14546,1.36309,0.06547,0.19208,0.12644
"Gladiolus communis",25,80,3,6,4.5,4,0,0,0,1,0,0,0,0,0,4.2,3.4,5.9,7.6,5.8,0.68,0.414,0.52402,1.41703,0.17918,0.276,0.196
"Glandora diffusa",20,35,3,9,6,7,0,0,1,0,0,0,0,0,0,3.1,2.3,6.9,7.8,4.2,0.56684,0.28299,0.38749,1.47114,0.14998,0.30208,0.10419
"Glandora prostrata",15,40,1,12,6.5,12,0,0,1,0,0,0,0,0,0,3.5,2.1,2,7.5,4.7,0.55556,0.27364,0.43239,1.35182,0.06965,0.28073,0.11607
"Glaucium corniculatum",30,40,4,7,5.5,4,0,0,0,0,0,0,1,0,0,3.1,4.6,8,8,6.2,0.7625,0.75641,2.08982,2.11863,0.74897,0.24878,0.51795
"Glaucium flavum",30,90,4,10,7,7,0,0,0,0,1,0,0,0,0,3.8,6.7,7.7,9,5.6,0.57702,0.57261,1.58658,1.64461,0.15816,0.13127,0.6234
"Glebionis segetum",10,50,2,6,4,5,0,0,0,0,0,0,1,0,0,4.3,5.6,5,7.4,5.2,0.86421,0.85161,1.6252,2.09301,0.36676,0.1488,0.74213
"Glechoma hederacea",6,85,3,7,5,5,0,0,0,0,1,0,0,0,0,4.9,7,6.2,5.3,4.4,0.6037,0.3946,0.44368,1.50139,0.30164,0.21315,0.21494
"Glyceria declinata",87,87,4,7,5.5,4,0,0,0,0,1,0,0,0,0,7.2,6.4,6.1,6.1,4.2,0.32974,0.3223,1.61888,1.76012,0.13379,0.14444,0.13327
"Gnaphalium coarctatum",12,30,3,9,6,7,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gnaphalium pensylvanicum",10,30,3,12,7.5,10,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gnaphalium purpureum",10,30,3,12,7.5,10,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gnaphalium sylvaticum",15,70,7,10,8.5,4,0,0,0,0,1,0,0,0,0,4.3,5.3,3.6,6.7,3.8,0.56547,0.42231,0.66123,1.65534,0.35805,0.25201,0.27473
"Gnaphalium uliginosum",5,25,6,10,8,5,0,0,0,0,0,0,1,0,0,6.1,5,5,7.2,4.1,0.76982,0.7659,1.82398,1.98086,0.21459,0.19943,0.54579
"Hainardia cylindrica",60,60,4,8,6,5,0,0,0,0,0,0,1,0,0,3,6.2,7.4,8,6.5,0.68971,0.68923,2.03538,2.03538,0.49559,0.3124,0.3916
"Hedera helix aggr.",NA,NA,9,11,10,3,0,0,0,0,0,0,0,1,0,4.5,5.2,6.2,3.9,4.6,NA,NA,NA,NA,NA,NA,NA
"Helianthus x laetiflorus",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Helichrysum italicum",50,50,6,8,7,3,0,0,1,0,0,0,0,0,0,3,3.2,7.5,8.4,7.1,0.54659,0.41077,0.79674,1.33501,0.16716,0.28987,0.19747
"Helichrysum stoechas",50,50,2,7,4.5,6,0,0,1,0,0,0,0,0,0,2.7,2.3,5,8.1,6.5,0.5862,0.28765,0.46859,1.4508,0.10351,0.29112,0.2078
"Helictochloa marginata",20,140,4,8,6,5,0,0,0,0,1,0,0,0,0,4,2.3,3,7.9,4.5,0.45833,0.31141,0.65873,1.50297,0.17555,0.30801,0.13375
"Heliotropium europaeum",50,50,3,11,7,9,0,0,0,0,0,0,1,0,0,3,6.8,7.8,7.9,6.1,0.80021,0.77603,1.28418,1.84885,0.72275,0.16185,0.61355
